pol,utdate,obsnum,subsysnr,object,molecule,transition,obs_sb,peak,tsys,bwmode
p1,20200629,32,2,NGC6334I,CS,5-4,LSB,14.3244,175.1575,1000MHzx2048
both,20200627,75,2,NGC6334I,CS,5-4,LSB,15.5753,189.1859,1000MHzx2048
both,20200628,44,2,NGC6334I,CS,5-4,LSB,15.2366,179.6608,1000MHzx2048
both,20200629,32,2,NGC6334I,CS,5-4,LSB,14.1585,177.4448,1000MHzx2048
p0,20200629,61,1,W3(OH),CS,5-4,LSB,7.4976,134.9367,250MHzx8192
p0,20200701,79,1,W3(OH),CS,5-4,LSB,7.67306,156.8485,250MHzx8192
p1,20200629,61,1,W3(OH),CS,5-4,LSB,7.817880000000000,122.309,250MHzx8192
p1,20200701,79,1,W3(OH),CS,5-4,LSB,8.01505,147.305,250MHzx8192
both,20200629,61,1,W3(OH),CS,5-4,LSB,7.664570000000000,128.1618,250MHzx8192
both,20200701,79,1,W3(OH),CS,5-4,LSB,7.812880000000000,151.8527,250MHzx8192
p0,20200629,61,2,W3(OH),CS,5-4,LSB,7.447840000000000,133.5423,1000MHzx2048
p0,20200701,79,2,W3(OH),CS,5-4,LSB,7.40423,155.6838,1000MHzx2048
p1,20200629,61,2,W3(OH),CS,5-4,LSB,7.735,128.0524,1000MHzx2048
p1,20200701,79,2,W3(OH),CS,5-4,LSB,7.695110000000000,152.2099,1000MHzx2048
both,20200629,61,2,W3(OH),CS,5-4,LSB,7.58255,130.7112,1000MHzx2048
both,20200701,79,2,W3(OH),CS,5-4,LSB,7.55313,153.9188,1000MHzx2048
p0,20200619,53,1,CRL2688,CO,2-1,USB,7.2202,217.3712,250MHzx8192
p0,20200627,57,1,CRL2688,CO,2-1,USB,7.585,156.1375,250MHzx8192
p0,20200628,61,1,CRL2688,CO,2-1,USB,7.489440000000000,136.1092,250MHzx8192
p1,20200619,53,1,CRL2688,CO,2-1,USB,6.49325,189.4024,250MHzx8192
p1,20200627,57,1,CRL2688,CO,2-1,USB,6.9677,138.3965,250MHzx8192
p1,20200628,61,1,CRL2688,CO,2-1,USB,6.9601,122.5695,250MHzx8192
both,20200619,53,1,CRL2688,CO,2-1,USB,6.674810000000000,201.9489,250MHzx8192
both,20200627,57,1,CRL2688,CO,2-1,USB,7.18647,146.4655,250MHzx8192
both,20200628,61,1,CRL2688,CO,2-1,USB,7.18929,128.8135,250MHzx8192
p0,20200619,53,2,CRL2688,CO,2-1,USB,6.75426,216.2066,1000MHzx2048
p0,20200627,57,2,CRL2688,CO,2-1,USB,7.41162,156.1791,1000MHzx2048
p0,20200628,61,2,CRL2688,CO,2-1,USB,7.2617,135.0199,1000MHzx2048
p1,20200619,53,2,CRL2688,CO,2-1,USB,6.27741,195.1564,1000MHzx2048
p1,20200627,57,2,CRL2688,CO,2-1,USB,6.8815100000000000,142.7666,1000MHzx2048
p1,20200628,61,2,CRL2688,CO,2-1,USB,6.954860000000000,127.4711,1000MHzx2048
both,20200619,53,2,CRL2688,CO,2-1,USB,6.49008,204.8745,1000MHzx2048
both,20200627,57,2,CRL2688,CO,2-1,USB,7.096610000000000,149.0229,1000MHzx2048
both,20200628,61,2,CRL2688,CO,2-1,USB,7.0994400000000000,131.0811,1000MHzx2048
p0,20200620,20,1,IRC+10216,CO,2-1,LSB,21.3029,235.0194,250MHzx8192
p0,20200624,15,1,IRC+10216,CO,2-1,LSB,21.5481,127.8973,250MHzx8192
p0,20200627,12,1,IRC+10216,CO,2-1,LSB,21.0816,137.9689,250MHzx8192
p1,20200620,20,1,IRC+10216,CO,2-1,LSB,22.6599,227.4627,250MHzx8192
p1,20200624,15,1,IRC+10216,CO,2-1,LSB,23.2133,122.0955,250MHzx8192
p1,20200627,12,1,IRC+10216,CO,2-1,LSB,22.7131,131.2978,250MHzx8192
both,20200620,20,1,IRC+10216,CO,2-1,LSB,21.943,231.158,250MHzx8192
both,20200624,15,1,IRC+10216,CO,2-1,LSB,22.34,124.88600000000000,250MHzx8192
both,20200627,12,1,IRC+10216,CO,2-1,LSB,21.9164,134.5126,250MHzx8192
p0,20200620,20,2,IRC+10216,CO,2-1,LSB,21.5151,237.9622,1000MHzx2048
p0,20200624,15,2,IRC+10216,CO,2-1,LSB,21.7077,128.636,1000MHzx2048
p0,20200627,12,2,IRC+10216,CO,2-1,LSB,21.2679,139.5576,1000MHzx2048
p1,20200620,20,2,IRC+10216,CO,2-1,LSB,22.4233,230.6489,1000MHzx2048
p1,20200624,15,2,IRC+10216,CO,2-1,LSB,23.1621,125.4291,1000MHzx2048
p1,20200627,12,2,IRC+10216,CO,2-1,LSB,22.5449,134.6782,1000MHzx2048
both,20200620,20,2,IRC+10216,CO,2-1,LSB,21.9854,234.2219,1000MHzx2048
both,20200624,15,2,IRC+10216,CO,2-1,LSB,22.4463,127.0018,1000MHzx2048
both,20200627,12,2,IRC+10216,CO,2-1,LSB,21.9105,137.0542,1000MHzx2048
p0,20200629,50,1,N7538IRS1,CO,2-1,LSB,22.6742,117.6986,250MHzx8192
p0,20200701,68,1,N7538IRS1,CO,2-1,LSB,22.8828,141.1362,250MHzx8192
p1,20200629,50,1,N7538IRS1,CO,2-1,LSB,18.8572,91.26223,250MHzx8192
p1,20200701,68,1,N7538IRS1,CO,2-1,LSB,19.0175,109.6108,250MHzx8192
both,20200629,50,1,N7538IRS1,CO,2-1,LSB,20.2636,101.9963,250MHzx8192
both,20200701,68,1,N7538IRS1,CO,2-1,LSB,20.4196,122.4262,250MHzx8192
p0,20200629,50,2,N7538IRS1,CO,2-1,LSB,22.7344,118.2272,1000MHzx2048
p0,20200701,68,2,N7538IRS1,CO,2-1,LSB,23.1801,144.2455,1000MHzx2048
p1,20200629,50,2,N7538IRS1,CO,2-1,LSB,18.8486,95.05376,1000MHzx2048
p1,20200701,68,2,N7538IRS1,CO,2-1,LSB,18.8321,111.7898,1000MHzx2048
both,20200629,50,2,N7538IRS1,CO,2-1,LSB,20.3747,104.7649,1000MHzx2048
both,20200701,68,2,N7538IRS1,CO,2-1,LSB,20.4639,124.962,1000MHzx2048
p0,20200627,91,1,W75N,CO,2-1,LSB,27.7508,116.7016,250MHzx8192
p0,20200628,51,1,W75N,CO,2-1,LSB,28.7524,134.7187,250MHzx8192
p0,20200701,26,1,W75N,CO,2-1,LSB,29.3326,159.7503,250MHzx8192
p1,20200627,91,1,W75N,CO,2-1,LSB,29.8895,112.3844,250MHzx8192
p1,20200628,51,1,W75N,CO,2-1,LSB,30.6508,129.5004,250MHzx8192
p1,20200701,26,1,W75N,CO,2-1,LSB,30.8506,153.2846,250MHzx8192
both,20200627,91,1,W75N,CO,2-1,LSB,28.7823,114.4786,250MHzx8192
both,20200628,51,1,W75N,CO,2-1,LSB,29.7392,132.0359,250MHzx8192
both,20200701,26,1,W75N,CO,2-1,LSB,30.1229,156.4205,250MHzx8192
p0,20200627,91,2,W75N,CO,2-1,LSB,28.0303,117.4618,1000MHzx2048
p0,20200628,51,2,W75N,CO,2-1,LSB,29.5135,135.591,1000MHzx2048
p0,20200701,26,2,W75N,CO,2-1,LSB,29.1425,161.4552,1000MHzx2048
p1,20200627,91,2,W75N,CO,2-1,LSB,29.8272,115.5499,1000MHzx2048
p1,20200628,51,2,W75N,CO,2-1,LSB,30.6295,131.6193,1000MHzx2048
p1,20200701,26,2,W75N,CO,2-1,LSB,30.2699,154.702,1000MHzx2048
both,20200627,91,2,W75N,CO,2-1,LSB,28.9431,116.4945,1000MHzx2048
both,20200628,51,2,W75N,CO,2-1,LSB,30.0868,133.5603,1000MHzx2048
both,20200701,26,2,W75N,CO,2-1,LSB,29.7284,157.9682,1000MHzx2048
p0,20200628,23,1,16293-2422,CO,2-1,LSB,18.1598,146.7154,250MHzx8192
p0,20200629,20,1,16293-2422,CO,2-1,LSB,16.966000000000000,214.3046,250MHzx8192
p0,20200701,15,1,16293-2422,CO,2-1,LSB,18.8354,152.0835,250MHzx8192
p1,20200628,23,1,16293-2422,CO,2-1,LSB,19.6473,142.2401,250MHzx8192
p1,20200629,20,1,16293-2422,CO,2-1,LSB,18.7046,205.9656,250MHzx8192
p1,20200701,15,1,16293-2422,CO,2-1,LSB,20.4,148.64700000000000,250MHzx8192
both,20200628,23,1,16293-2422,CO,2-1,LSB,18.9053,144.4295,250MHzx8192
both,20200629,20,1,16293-2422,CO,2-1,LSB,17.8702,210.0051,250MHzx8192
both,20200701,15,1,16293-2422,CO,2-1,LSB,19.6117,150.3422,250MHzx8192
p0,20200628,23,2,16293-2422,CO,2-1,LSB,16.9105,147.9959,1000MHzx2048
p0,20200629,20,2,16293-2422,CO,2-1,LSB,15.7825,215.2449,1000MHzx2048
p0,20200701,15,2,16293-2422,CO,2-1,LSB,17.3156,153.9305,1000MHzx2048
p1,20200628,23,2,16293-2422,CO,2-1,LSB,18.0994,144.6382,1000MHzx2048
p1,20200629,20,2,16293-2422,CO,2-1,LSB,16.8072,207.7419,1000MHzx2048
p1,20200701,15,2,16293-2422,CO,2-1,LSB,18.5934,150.0402,1000MHzx2048
both,20200628,23,2,16293-2422,CO,2-1,LSB,17.5186,146.2875,1000MHzx2048
both,20200629,20,2,16293-2422,CO,2-1,LSB,16.313,211.3944,1000MHzx2048
both,20200701,15,2,16293-2422,CO,2-1,LSB,17.9432,151.9475,1000MHzx2048
p0,20200627,83,1,G34.3,CO,2-1,LSB,21.2089,120.7269,250MHzx8192
p0,20200628,31,1,G34.3,CO,2-1,LSB,21.9391,141.406,250MHzx8192
p0,20200629,36,1,G34.3,CO,2-1,LSB,22.3695,126.4066,250MHzx8192
p1,20200627,83,1,G34.3,CO,2-1,LSB,22.7528,115.1031,250MHzx8192
p1,20200628,31,1,G34.3,CO,2-1,LSB,22.8887,135.0246,250MHzx8192
p1,20200629,36,1,G34.3,CO,2-1,LSB,23.2583,118.3468,250MHzx8192
both,20200627,83,1,G34.3,CO,2-1,LSB,22.0018,117.8133,250MHzx8192
both,20200628,31,1,G34.3,CO,2-1,LSB,22.4081,138.1028,250MHzx8192
both,20200629,36,1,G34.3,CO,2-1,LSB,22.8246,122.1737,250MHzx8192
p0,20200627,83,2,G34.3,CO,2-1,LSB,22.1158,120.8517,1000MHzx2048
p0,20200628,31,2,G34.3,CO,2-1,LSB,22.908,141.7657,1000MHzx2048
p0,20200629,36,2,G34.3,CO,2-1,LSB,23.3937,126.8205,1000MHzx2048
p1,20200627,83,2,G34.3,CO,2-1,LSB,23.5254,119.4109,1000MHzx2048
p1,20200628,31,2,G34.3,CO,2-1,LSB,23.4455,138.1368,1000MHzx2048
p1,20200629,36,2,G34.3,CO,2-1,LSB,23.7724,120.306,1000MHzx2048
both,20200627,83,2,G34.3,CO,2-1,LSB,22.8308,120.1242,1000MHzx2048
both,20200628,31,2,G34.3,CO,2-1,LSB,23.1868,139.9142,1000MHzx2048
both,20200629,36,2,G34.3,CO,2-1,LSB,23.5943,123.4343,1000MHzx2048
p0,20200627,74,1,NGC6334I,CO,2-1,LSB,33.9892,172.0048,250MHzx8192
p0,20200628,39,1,NGC6334I,CO,2-1,LSB,33.3806,165.2851,250MHzx8192
p0,20200629,28,1,NGC6334I,CO,2-1,LSB,31.3739,198.8813,250MHzx8192
p1,20200627,74,1,NGC6334I,CO,2-1,LSB,35.9133,164.6547,250MHzx8192
p1,20200628,39,1,NGC6334I,CO,2-1,LSB,35.1162,156.5419,250MHzx8192
p1,20200629,28,1,NGC6334I,CO,2-1,LSB,33.4917,190.584,250MHzx8192
both,20200627,74,1,NGC6334I,CO,2-1,LSB,34.9646,168.2083,250MHzx8192
both,20200628,39,1,NGC6334I,CO,2-1,LSB,34.2668,160.7365,250MHzx8192
both,20200629,28,1,NGC6334I,CO,2-1,LSB,32.2962,194.5861,250MHzx8192
p0,20200627,74,2,NGC6334I,CO,2-1,LSB,34.3479,172.7432,1000MHzx2048
p0,20200628,39,2,NGC6334I,CO,2-1,LSB,33.9898,165.6424,1000MHzx2048
p0,20200629,28,2,NGC6334I,CO,2-1,LSB,31.981000000000000,200.9139,1000MHzx2048
p1,20200627,74,2,NGC6334I,CO,2-1,LSB,35.6503,166.2178,1000MHzx2048
p1,20200628,39,2,NGC6334I,CO,2-1,LSB,34.934,157.8406,1000MHzx2048
p1,20200629,28,2,NGC6334I,CO,2-1,LSB,33.033,192.4769,1000MHzx2048
both,20200627,74,2,NGC6334I,CO,2-1,LSB,35.0208,169.3858,1000MHzx2048
both,20200628,39,2,NGC6334I,CO,2-1,LSB,34.4831,161.5993,1000MHzx2048
both,20200629,28,2,NGC6334I,CO,2-1,LSB,32.5307,196.5592,1000MHzx2048
p0,20200629,59,1,W3(OH),CO,2-1,LSB,21.8142,123.9329,250MHzx8192
p0,20200701,75,1,W3(OH),CO,2-1,LSB,18.1633,156.0221,250MHzx8192
